17062;q;true;;01/01/1970
2762;n;true;;31/12/1969
27172;5;true;;31/12/1969
2747;4554p;true;;01/01/1970
17892;h1r;true;;01/01/1970
17499;h;true;;31/12/1969
20629;3l73;true;;31/12/1969
18654;sj;true;;31/12/1969
2808;e3cc;true;;01/01/1970
21917;18;true;;01/01/1970
9148;f21qb;true;;31/12/1969
2259;42p;true;;01/01/1970
21058;3k926;true;;31/12/1969
31845;t52a;true;;01/01/1970
6648;495;true;;31/12/1969
21067;3;true;;01/01/1970
24838;t9099;true;;01/01/1970
26094;78xis;true;;31/12/1969
20494;22jky;true;;31/12/1969
14663;0xar;true;;01/01/1970
13093;m;true;;31/12/1969
18533;v;true;;31/12/1969
27918;3rv3;true;;01/01/1970
18311;m61m;true;;31/12/1969
10860;4k;true;;01/01/1970
31990;y3;true;;31/12/1969
2052;7hm;true;;01/01/1970
20125;kgm4;true;;31/12/1969
32331;q206;true;;31/12/1969
17388;4k;true;;01/01/1970
8305;2e6n;true;;31/12/1969
26369;2m6o;true;;31/12/1969
6750;c5;true;;31/12/1969
2280;6m5;true;;31/12/1969
20607;px583;true;;01/01/1970
27309;6zckb;true;;01/01/1970
20105;3g;true;;31/12/1969
17580;sm14;true;;31/12/1969
30605;s5;true;;01/01/1970
32608;ys3;true;;31/12/1969
21058;cj;true;;01/01/1970
23300;0i;true;;31/12/1969
3155;ol6;true;;31/12/1969
14550;367m6;true;;31/12/1969
940;a;true;;31/12/1969
5279;z;true;;31/12/1969
12156;zq29;true;;31/12/1969
31023;fw5;true;;01/01/1970
29143;3;true;;01/01/1970
18975;49;true;;01/01/1970
7867;bq;true;;01/01/1970
17685;33;true;;31/12/1969
21876;04yr8;true;;01/01/1970
25108;v8;true;;31/12/1969
12781;vu;true;;31/12/1969
18896;0tz01;true;;01/01/1970
17179;2q;true;;31/12/1969
8479;5xep;true;;01/01/1970
29652;5u45;true;;01/01/1970
9792;wbb4;true;;31/12/1969
2307;bz99x;true;;31/12/1969
5840;4pchv;true;;31/12/1969
6885;a68;true;;01/01/1970
24064;q38;true;;31/12/1969
29058;m;true;;31/12/1969
11874;pw;true;;01/01/1970
32762;0;true;;01/01/1970
29257;2k55;true;;31/12/1969
514;1rv;true;;31/12/1969
15441;b;true;;31/12/1969
11852;e9r;true;;31/12/1969
32553;7;true;;31/12/1969
22995;tf5z;true;;31/12/1969
12541;9sg;true;;31/12/1969
3362;4;true;;01/01/1970
32544;7xk2;true;;31/12/1969
15225;g89;true;;01/01/1970
15390;t57;true;;31/12/1969
16760;3;true;;01/01/1970
10735;1g;true;;31/12/1969
