67329;0;5952;1242;28/07/2000
22736;0;4272;8203;07/10/1970
91078;0;2496;5063;15/01/1994
12983;0;879;1819;06/12/1988
90928;0;6595;8610;25/01/1988
7270;0;6647;6147;17/12/2004
69564;0;17;4649;21/08/1983
41091;0;267;2056;20/03/1992
39409;0;2002;5163;01/09/1999
62075;0;8271;2781;16/01/1975
38676;1;6563;1970;21/06/1974
67599;1;7134;4562;02/07/1977
2221;1;5126;8284;02/04/1989
35012;1;57;8427;18/05/2004
6881;1;9183;717;19/03/1999
47512;10;8344;1608;13/06/1997
38276;10;4516;4707;09/11/1993
58970;10;2106;387;01/05/1975
73173;10;9167;4257;05/06/2005
96079;100;2748;9371;02/04/1987
11870;100;129;6161;21/07/1975
92995;100;4610;1960;05/03/1977
94453;100;5820;932;15/03/2012
66341;100;1126;5178;01/09/1987
49193;100;3457;7157;25/11/2009
35696;100;3750;2608;20/12/2004
19850;100;7081;4680;23/05/2000
65399;100;6069;420;18/10/2016
56087;1000;9555;8663;04/08/2012
78679;1000;117;834;28/05/1992
36024;1000;591;472;30/11/1976
46218;1000;647;2837;24/11/1981
49851;1000;8425;3574;14/09/2001
36363;1000;5350;3243;30/12/2006
19666;1000;6514;1919;16/09/2001
22130;1000;3735;9762;09/01/1972
12250;1000;8848;9075;10/03/1977
730;1000;927;5260;23/04/2013
55641;1000;8344;1939;25/09/1986
51594;1000;6949;3406;29/05/1975
60653;1000;3709;6240;19/11/1978
39003;1000;1569;3710;29/03/1989
91291;1001;4085;7146;19/03/1988
48551;1001;6882;3381;27/12/1972
24333;1001;908;830;09/12/1978
21085;1001;6280;7568;14/07/1974
16512;1001;1580;4235;16/12/2008
33583;1001;256;9306;21/07/1988
97328;1001;7327;9912;27/09/2005
84787;1001;2316;7057;07/06/1972
50666;1001;7105;7274;15/10/1983
57997;1001;7045;208;19/01/1988
91428;1001;544;5409;24/09/1987
82563;1001;8441;5092;20/07/1973
76935;1001;8669;6150;17/10/1977
67192;1001;6055;5848;28/03/1989
25596;1001;9904;7980;11/05/2011
39708;1002;7084;7312;26/09/1975
98793;1002;3341;7556;08/01/1999
37786;1002;272;9531;23/04/1970
24930;1002;5639;9089;24/08/2010
44511;1002;1890;8744;10/09/1991
52715;1002;5137;9998;12/06/1974
63426;1002;3174;9702;05/01/1999
18294;1002;8856;8375;17/06/2009
77098;1002;3201;681;01/04/2000
27053;1002;961;7551;29/06/1982
53134;1002;3158;6631;25/04/1976
37482;1003;4888;5361;01/01/1991
4977;1003;8128;1849;20/12/1982
65848;1003;7832;2589;29/10/1977
77332;1003;3786;4625;16/06/1992
64137;1003;4900;422;02/02/2012
85616;1003;4240;8039;16/08/1987
89963;1003;3421;4332;13/11/1972
80699;1003;231;5859;15/03/2004
31056;1003;5668;3415;16/09/2009
24233;1003;569;2122;30/11/1988
19924;1003;1621;8077;16/02/2008
30947;1004;9942;6238;03/03/1993
51722;1004;2908;2151;08/08/1987
6892;1004;9209;1968;08/09/2012
41880;1004;4274;9525;07/08/1981
